Sample;Sample_ID;Plot ;Block;Burning_intensity
1A;1A;1;1;NoBurn
2A;2A;2;1;HighBurn
3A;3A;3;1;MedBurn
4A;4A;4;1;LowBurn
5A;5A;5;2;MedBurn
6A;6A;6;2;NoBurn
7A;7A;7;2;LowBurn
8A;8A;8;2;HighBurn
9A;9A;9;3;NoBurn
10A;10A;10;3;LowBurn
11A;11A;11;3;MedBurn
12A;12A;12;3;HighBurn
13A;13A;13;4;LowBurn
14A;14A;14;4;NoBurn
15A;15A;15;4;HighBurn
16A;16A;16;4;MedBurn
1B;1B;1;1;NoBurn
2B;2B;2;1;HighBurn
3B;3B;3;1;MedBurn
4B;4B;4;1;LowBurn
5B;5B;5;2;MedBurn
6B;6B;6;2;NoBurn
7B;7B;7;2;LowBurn
8B;8B;8;2;HighBurn
9B;9B;9;3;NoBurn
10B;10B;10;3;LowBurn
11B;11B;11;3;MedBurn
12B;12B;12;3;HighBurn
13B;13B;13;4;LowBurn
14B;14B;14;4;NoBurn
15B;15B;15;4;HighBurn
16B;16B;16;4;MedBurn